,id,Name,scID,SG_id,SG_name,TM_id,TM_name,query_name
2374,119228.0,R & S Records,119228.0,506169.0,L.R.S Records,K8vZ9174WI7,H.E.R.,r & s 
2375,157383129.0,Honorable House,157383129.0,,,,,honorable house
2376,49155.0,Perfect Stranger,49155.0,148838.0,Perfect Strangers,K8vZ9171fp0,Perfect Stranger,perfect stranger
2377,639118.0,ephixa,639118.0,178678.0,Ephixa,,,ephixa
2378,102691397.0,Lash,102691397.0,56473.0,Lisa Lashes,K8vZ9174tu7,Sobe Lash,lash
2379,143646281.0,Bodhi Collective,143646281.0,,,,,bodhi collective
2380,19466.0,Exit Records UK,19466.0,,,,,exit  uk
2381,49295547.0,✿ MACROSS 82-99 ✿,49295547.0,,,,,✿ macross 82-99 ✿
2382,11978.0,Wax Motif,11978.0,188327.0,Wax Motif,K8vZ9173h5f,Wax Motif,wax motif
2383,212028526.0,ZAYN,212028526.0,428555.0,Zayn,K8vZ917fNP0,Zayn,zayn
2384,4295029.0,Riggi & Piros,4295029.0,260935.0,Riggi & Piros,K8vZ917oMMV,Riggi & Piros,riggi & piros
2385,138976584.0,The Joe Budden Podcast,138976584.0,,,,,the joe budden podcast
2386,140493193.0,ABSENCE,140493193.0,245151.0,The Absence,K8vZ9174S6f,Holding Absence,absence
2387,6288311.0,J E T T A,6288311.0,,,K8vZ91735z7,Jetta,j e t t a
2388,1095547.0,Kenny Dope,1095547.0,110079.0,Kenny Dope,K8vZ9172jo7,Kenny Dope,kenny dope
2389,12932.0,BPitch,12932.0,,,,,bpitch
2390,64433.0,Turbo Recordings,64433.0,,,,,turbo recordings
2391,2308155.0,Its Danny T,2308155.0,,,,,its danny t
2392,233350.0,Munchi,233350.0,188128.0,Karl Munchinger,K8vZ9172peV,Munchi,munchi
2393,51460878.0,Kap G,51460878.0,682272.0,Kap G Live,K8vZ917fgwV,Kap G,kap g
2394,5134.0,Sasse,5134.0,231423.0,Bernardo Sassetti,K8vZ917uT17,Bud Sasse,sasse
2395,241149.0,Robotaki,241149.0,163134.0,Robotaki,K8vZ9174rif,Robotaki,robotaki
2396,236436995.0,TDC Light,236436995.0,,,,,tdc light
2397,1870371.0,DJ Vadim,1870371.0,27934.0,DJ Vadim,K8vZ91711Y0,DJ Vadim,dj vadim
2398,165779.0,Sam Redmore,165779.0,,,,,sam redmore
2399,259914231.0,Repost,259914231.0,,,K8vZ917f3e0,Repost,repost
2400,16921239.0,T-Pain,16921239.0,1732.0,T-Pain,K8vZ917G5F0,T-Pain,t-pain
